Borough and Year,Water Quality Complaints
Bronx 2010,556
Brooklyn 2010,1783
Manhattan 2010,584
Queens 2010,3525
Staten Island 2010,1694
Bronx 2011,682
Brooklyn 2011,1791
Manhattan 2011,592
Queens 2011,3224
Staten Island 2011,1566
Bronx 2012,662
Brooklyn 2012,2212
Manhattan 2012,734
Queens 2012,2830
Staten Island 2012,1929
Bronx 2013,649
Brooklyn 2013,1704
Manhattan 2013,1052
Queens 2013,2209
Staten Island 2013,2054
Bronx 2014,635
Brooklyn 2014,1695
Manhattan 2014,826
Queens 2014,2457
Staten Island 2014,2313
Bronx 2015,786
Brooklyn 2015,2084
Manhattan 2015,794
Queens 2015,2958
Staten Island 2015,1330
Bronx 2016,829
Brooklyn 2016,2840
Manhattan 2016,3073
Queens 2016,2837
Staten Island 2016,1929
Bronx 2017,848
Brooklyn 2017,4578
Manhattan 2017,1161
Queens 2017,3491
Staten Island 2017,1591
Bronx 2018,1070
Brooklyn 2018,2848
Manhattan 2018,1662
Queens 2018,3499
Staten Island 2018,1903
Bronx 2019,652
Brooklyn 2019,1915
Manhattan 2019,749
Queens 2019,1655
Staten Island 2019,1069
